[2026-01-08 16:20:07,136] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-01-08 16:20:16,643] INFO django.server: "GET / HTTP/1.1" 302 0
[2026-01-08 16:20:16,679] INFO django.server: "GET /accounts/login/?next=/ HTTP/1.1" 200 11045
[2026-01-08 16:20:16,864] INFO django.server: "GET /static/css/style.css HTTP/1.1" 200 7927
[2026-01-08 16:20:32,073] INFO django.server: "POST /accounts/login/ HTTP/1.1" 302 0
[2026-01-08 16:20:32,113] INFO django.server: "GET / HTTP/1.1" 200 16231
[2026-01-08 16:54:48,271] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-01-08 16:55:02,793] INFO django.server: "GET / HTTP/1.1" 200 16231
[2026-01-08 16:55:02,837] INFO django.server: "GET /static/css/style.css HTTP/1.1" 304 0
[2026-01-08 16:55:05,618] INFO django.server: "POST /accounts/logout/ HTTP/1.1" 302 0
[2026-01-08 16:55:05,626] INFO django.server: "GET /accounts/login/ HTTP/1.1" 200 10819
[2026-01-08 16:55:34,445] INFO django.server: "POST /accounts/login/ HTTP/1.1" 302 0
[2026-01-08 16:55:34,461] INFO django.server: "GET / HTTP/1.1" 200 16231
[2026-01-08 16:55:43,188] INFO django.server: "GET /reports/history/ HTTP/1.1" 200 12120
[2026-01-08 16:55:57,360] INFO django.server: "GET / HTTP/1.1" 200 16231
[2026-01-08 16:56:00,373] INFO django.server: "GET /reports/settings/ HTTP/1.1" 200 6277
[2026-01-08 16:56:05,833] INFO django.server: "GET / HTTP/1.1" 200 16231
[2026-01-14 19:05:08,876] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-01-14 19:05:21,197] INFO django.server: "GET / HTTP/1.1" 302 0
[2026-01-14 19:05:21,346] INFO django.server: "GET /accounts/login/?next=/ HTTP/1.1" 200 11045
[2026-01-14 19:05:21,673] INFO django.server: "GET /static/css/style.css HTTP/1.1" 200 7590
[2026-01-14 19:05:29,319] WARNING django.request: Not Found: /favicon.ico
[2026-01-14 19:05:29,321] WARNING django.server: "GET /favicon.ico HTTP/1.1" 404 6105
[2026-01-14 19:05:43,064] INFO django.server: "POST /accounts/login/ HTTP/1.1" 302 0
[2026-01-14 19:05:43,100] INFO django.server: "GET / HTTP/1.1" 200 16215
[2026-01-14 19:14:21,288] INFO django.server: "GET /upload/ HTTP/1.1" 302 0
[2026-01-14 19:14:21,606] INFO django.server: "GET / HTTP/1.1" 200 16764
[2026-01-14 19:14:26,842] INFO django.server: "GET /upload/ HTTP/1.1" 302 0
[2026-01-14 19:14:26,863] INFO django.server: "GET / HTTP/1.1" 200 16764
[2026-01-14 19:15:26,002] INFO django.server: "GET /admin HTTP/1.1" 301 0
[2026-01-14 19:15:26,055] INFO django.server: "GET /admin/ HTTP/1.1" 200 7854
[2026-01-14 19:15:26,092] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 200 22120
[2026-01-14 19:15:26,103] INFO django.server: "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
